"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.386780949E0,2.696299925E-2,5.106800050E-2,2.419759929E-1
2.400785834E0,2.589900047E-2,5.448500067E-2,2.397399992E-1
2.414791506E0,2.589900047E-2,5.448500067E-2,2.397399992E-1
2.428797987E0,1.483500004E-2,2.609699965E-2,2.283010036E-1
2.442803708E0,3.881200030E-2,6.645999849E-3,1.925369948E-1
2.456808617E0,3.881200030E-2,6.645999849E-3,1.925369948E-1
2.470814271E0,4.543700069E-2,7.304999977E-3,2.007150054E-1
2.484820703E0,4.069799930E-2,1.179600041E-2,1.840559989E-1
2.498826392E0,4.069799930E-2,1.179600041E-2,1.840559989E-1
2.512831329E0,1.748099923E-2,3.498400003E-2,1.603129953E-1
2.526837035E0,4.832400009E-2,5.920000002E-2,1.986979991E-1
2.540843483E0,3.390000015E-2,5.744300038E-2,1.990779936E-1
2.554849180E0,3.390000015E-2,5.744300038E-2,1.990779936E-1
2.568854112E0,4.474499822E-2,2.216899954E-2,2.935700119E-1
2.582859819E0,2.733000088E-3,3.869000077E-2,1.683239937E-1
2.596866276E0,2.733000088E-3,3.869000077E-2,1.683239937E-1
2.610871968E0,2.887099981E-2,1.023849994E-1,1.672759950E-1
2.624876881E0,7.207699865E-2,4.494199902E-2,3.761560023E-1
2.638882608E0,7.207699865E-2,4.494199902E-2,3.761560023E-1
2.652889040E0,1.000399981E-2,-4.410799965E-2,1.995449960E-1
2.666894752E0,7.896800339E-2,-6.262300164E-2,7.750199735E-2
2.680899665E0,7.206299901E-2,7.457099855E-2,1.754480004E-1
2.694905367E0,7.206299901E-2,7.457099855E-2,1.754480004E-1
2.708911810E0,-9.480000008E-4,1.104789972E-1,1.975370049E-1
2.722917516E0,1.126100030E-2,7.362899929E-2,2.403029948E-1
2.736922439E0,1.126100030E-2,7.362899929E-2,2.403029948E-1
2.750928165E0,3.230800107E-2,4.678900167E-2,2.370339930E-1
2.764934598E0,2.016999945E-2,1.199200004E-2,2.138230056E-1
2.778940261E0,2.016999945E-2,1.199200004E-2,2.138230056E-1
2.792945174E0,-8.057000116E-3,5.104999989E-3,2.060409933E-1
2.806950911E0,3.403300047E-2,3.160899878E-2,1.974119991E-1
2.820957367E0,4.195300117E-2,3.600599989E-2,2.068170011E-1
2.834963074E0,4.195300117E-2,3.600599989E-2,2.068170011E-1
2.848967930E0,7.487600297E-2,5.551800132E-2,2.262119949E-1
2.862973597E0,3.413800150E-2,5.674200132E-2,2.344529927E-1
2.876980054E0,3.413800150E-2,5.674200132E-2,2.344529927E-1
2.890985804E0,5.445700139E-2,2.387900092E-2,1.794620007E-1
2.904990722E0,6.945099682E-2,3.897599876E-2,1.834529936E-1
2.918996444E0,6.945099682E-2,3.897599876E-2,1.834529936E-1
2.933002861E0,3.201799840E-2,2.586800046E-2,1.520500034E-1
2.947008558E0,1.386300009E-2,5.175000057E-2,2.047480047E-1
2.961013448E0,4.800400138E-2,7.079599798E-2,2.255250067E-1
2.975019126E0,4.800400138E-2,7.079599798E-2,2.255250067E-1
2.989025582E0,4.294599965E-2,5.620099977E-2,2.542920113E-1
3.003031318E0,3.159800172E-2,6.539300084E-2,2.610580027E-1
3.017036222E0,3.159800172E-2,6.539300084E-2,2.610580027E-1
3.031041900E0,2.166499943E-2,3.573499992E-2,2.247560024E-1
3.045048376E0,4.692700133E-2,3.256899863E-2,2.172829956E-1
3.059054087E0,4.692700133E-2,3.256899863E-2,2.172829956E-1
3.073059035E0,2.196500078E-2,2.853699960E-2,1.834409982E-1
3.087064757E0,2.642199956E-2,2.514800057E-2,1.996829957E-1
3.101071170E0,3.978199884E-2,1.932800002E-2,2.058919966E-1
3.115076882E0,3.978199884E-2,1.932800002E-2,2.058919966E-1
3.129081834E0,2.036100067E-2,1.597299986E-2,1.831309944E-1
3.143087531E0,1.427299995E-2,4.995699972E-2,1.768860072E-1
3.157094036E0,1.427299995E-2,4.995699972E-2,1.768860072E-1
3.171099747E0,4.219099879E-2,7.773599774E-2,2.532199919E-1
3.185104712E0,2.329800092E-2,6.469000131E-2,1.756599993E-1
3.199110423E0,2.329800092E-2,6.469000131E-2,1.756599993E-1
3.213116857E0,4.308500141E-2,-1.487599965E-2,3.126020133E-1
3.227122476E0,2.130700089E-2,1.872700080E-2,4.183400050E-2
3.241127515E0,2.675000113E-3,1.102190018E-1,2.028850019E-1
3.255133237E0,2.675000113E-3,1.102190018E-1,2.028850019E-1
3.269139645E0,4.450500011E-2,2.842500061E-2,3.330999911E-1
3.283145348E0,7.974999957E-3,-6.418199837E-2,1.287599951E-1
3.297150324E0,7.974999957E-3,-6.418199837E-2,1.287599951E-1
3.311155958E0,5.697499961E-2,-4.936899990E-2,1.497139931E-1
3.325162401E0,5.258800089E-2,1.035069972E-1,2.707569897E-1
3.339168093E0,5.258800089E-2,1.035069972E-1,2.707569897E-1
3.353172977E0,-1.737600006E-2,1.385159940E-1,2.575649917E-1
3.367178670E0,1.029000035E-3,7.219900191E-2,2.276249975E-1
3.381185117E0,1.289299969E-2,2.524499968E-2,2.217320055E-1
3.395190785E0,1.289299969E-2,2.524499968E-2,2.217320055E-1
3.409195709E0,1.300899964E-2,-2.409199998E-2,2.019740045E-1
3.423201396E0,1.258600038E-2,1.231999975E-2,2.374120057E-1
3.437207828E0,1.258600038E-2,1.231999975E-2,2.374120057E-1
3.451213521E0,4.176500067E-2,6.916999817E-3,2.232750058E-1
3.465218401E0,6.592400372E-2,2.024400048E-2,2.442470044E-1
3.479224054E0,6.592400372E-2,2.024400048E-2,2.442470044E-1
3.493230526E0,7.398699969E-2,4.020100087E-2,1.511819959E-1
3.507236213E0,3.041199967E-2,4.172400013E-2,2.279720008E-1
3.521241131E0,6.882800162E-2,6.898599863E-2,1.744900048E-1
3.535246848E0,6.882800162E-2,6.898599863E-2,1.744900048E-1
3.549253276E0,6.912700087E-2,6.444200128E-2,1.958499998E-1
3.563259007E0,2.443400025E-2,2.047999948E-2,1.589329988E-1
3.577263920E0,2.443400025E-2,2.047999948E-2,1.589329988E-1
3.591269607E0,6.825000048E-3,1.934199966E-2,2.103199959E-1
3.605276074E0,1.707500033E-2,5.547700077E-2,2.080000043E-1
3.619281757E0,1.707500033E-2,5.547700077E-2,2.080000043E-1
3.633286694E0,1.570099965E-2,2.725999989E-2,2.530080080E-1
3.647292420E0,3.680900112E-2,1.214000024E-2,2.291000038E-1
3.661298814E0,3.726200014E-2,2.705099992E-2,2.050710022E-1
3.675304473E0,3.726200014E-2,2.705099992E-2,2.050710022E-1
3.689309492E0,2.209999971E-2,4.772600159E-2,1.839949936E-1
3.703315223E0,1.268399972E-2,2.766099945E-2,1.616560072E-1
3.717321578E0,1.268399972E-2,2.766099945E-2,1.616560072E-1
3.731327304E0,4.412699863E-2,1.321000047E-3,1.933760047E-1
3.745332184E0,4.239799827E-2,-1.765899919E-2,2.042440027E-1
3.759337890E0,4.239799827E-2,-1.765899919E-2,2.042440027E-1
3.773344333E0,1.902999915E-2,-4.697999917E-3,1.572780013E-1
3.787350025E0,-2.720999997E-3,2.041699924E-2,1.762910038E-1
3.801354962E0,3.095499985E-2,3.674700111E-2,1.904399991E-1
3.815360689E0,3.095499985E-2,3.674700111E-2,1.904399991E-1
3.829367159E0,-3.775000107E-3,3.378000110E-2,1.496009976E-1
3.843372837E0,2.042900026E-2,-1.879999996E-3,2.802399993E-1
3.857377703E0,2.042900026E-2,-1.879999996E-3,2.802399993E-1
3.871383371E0,-1.279999968E-2,9.813999757E-3,5.812299997E-2
3.885389837E0,-7.162999827E-3,1.090919971E-1,1.579709947E-1
3.899395549E0,-7.162999827E-3,1.090919971E-1,1.579709947E-1
3.913400458E0,7.812500000E-2,-4.580099881E-2,2.574900091E-1
3.927406165E0,-2.059000079E-3,-9.395200014E-2,9.299799800E-2
3.941412622E0,3.941499814E-2,-3.118799999E-2,1.595370024E-1
3.955418281E0,3.941499814E-2,-3.118799999E-2,1.595370024E-1
3.969423213E0,-1.102999970E-2,1.135059968E-1,2.142779976E-1
