"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.998437574E0,-2.031899989E-2,1.027199998E-2,2.415219992E-1
2.012443665E0,-3.171100095E-2,-1.090599969E-2,2.159889936E-1
2.026449059E0,-3.536500037E-2,5.353000015E-3,2.283859998E-1
2.040455208E0,-1.358500030E-2,-1.119599957E-2,2.097699940E-1
2.054462069E0,-1.358500030E-2,-1.119599957E-2,2.097699940E-1
2.068468155E0,-4.000000190E-3,-7.056000177E-3,1.950879991E-1
2.082473569E0,-3.046300076E-2,-3.779999970E-4,2.073349953E-1
2.096479761E0,-3.046300076E-2,-3.779999970E-4,2.073349953E-1
2.110486612E0,-1.171999983E-2,4.490000196E-3,2.106139958E-1
2.124492781E0,1.056000032E-2,-2.039399929E-2,2.659569979E-1
2.138498113E0,1.056000032E-2,-2.039399929E-2,2.659569979E-1
2.152504275E0,4.765999969E-3,-1.192600001E-2,2.592009902E-1
2.166511141E0,-3.606899828E-2,-3.253000090E-3,2.273059934E-1
2.180517295E0,-3.664999828E-2,1.593000023E-3,1.994249970E-1
2.194522732E0,-3.664999828E-2,1.593000023E-3,1.994249970E-1
2.208528843E0,-4.820499942E-2,3.445999930E-3,2.017160058E-1
2.222535717E0,-2.309199981E-2,3.250000067E-3,2.210099995E-1
2.236541875E0,-2.309199981E-2,3.250000067E-3,2.210099995E-1
2.250547284E0,-2.381400019E-2,-1.375100017E-2,2.213380039E-1
2.264553371E0,-4.219099879E-2,8.580000140E-4,1.818020046E-1
2.278560222E0,-4.219099879E-2,8.580000140E-4,1.818020046E-1
2.292566385E0,-2.746699937E-2,1.167799998E-2,2.154369950E-1
2.306571785E0,-5.343599990E-2,-1.549999975E-2,1.919910014E-1
2.320577861E0,-7.095800340E-2,1.520599984E-2,1.833160073E-1
2.334584761E0,-7.095800340E-2,1.520599984E-2,1.833160073E-1
2.348590814E0,-1.133299991E-2,2.711299993E-2,1.739829928E-1
2.362596212E0,-6.086099893E-2,-1.062999945E-3,1.980800033E-1
2.376602289E0,-6.086099893E-2,-1.062999945E-3,1.980800033E-1
2.390609202E0,-2.531000040E-2,-1.304700039E-2,1.879809946E-1
2.404615270E0,-7.854999974E-3,-8.466999978E-2,4.295459986E-1
2.418620621E0,-7.854999974E-3,-8.466999978E-2,4.295459986E-1
2.432626622E0,-2.717100084E-2,-6.521300226E-2,2.828400135E-1
2.446633559E0,-1.909100078E-2,-1.755500026E-2,1.054989994E-1
2.460639627E0,3.119999892E-4,2.567500062E-2,1.145050004E-1
2.474644997E0,3.119999892E-4,2.567500062E-2,1.145050004E-1
2.488651160E0,-3.750999924E-3,2.396200038E-2,2.087830007E-1
2.502658002E0,-1.667699963E-2,1.048200019E-2,2.450010031E-1
2.516664145E0,-1.667699963E-2,1.048200019E-2,2.450010031E-1
2.530669453E0,-1.952999970E-3,9.599000216E-3,2.381689996E-1
2.544675655E0,2.659999882E-4,1.210299972E-2,2.502509952E-1
2.558682506E0,2.659999882E-4,1.210299972E-2,2.502509952E-1
2.572688631E0,-3.031000029E-3,-2.461999888E-3,2.146030068E-1
2.586693939E0,-5.915000103E-3,-2.757799998E-2,2.340520024E-1
2.600700108E0,-2.887799963E-2,-6.120000035E-2,2.001290023E-1
2.614706929E0,-2.887799963E-2,-6.120000035E-2,2.001290023E-1
2.628713131E0,-1.157699991E-2,-1.657499932E-2,2.603859901E-1
2.642718468E0,-1.916499995E-2,-9.730000049E-3,1.643169969E-1
2.656724607E0,-1.916499995E-2,-9.730000049E-3,1.643169969E-1
2.670731449E0,3.159999906E-4,8.320000023E-3,2.154709995E-1
2.684737598E0,8.465000428E-3,-1.044300012E-2,1.865279973E-1
2.698742919E0,8.465000428E-3,-1.044300012E-2,1.865279973E-1
2.712749093E0,-2.774400078E-2,-2.834199928E-2,2.300949991E-1
2.726755953E0,-6.360799819E-2,-2.146299928E-2,2.308939993E-1
2.740762097E0,-3.059099987E-2,-9.716000408E-3,2.216739953E-1
2.754767467E0,-3.059099987E-2,-9.716000408E-3,2.216739953E-1
2.768773520E0,-3.453399986E-2,5.779999774E-3,2.375939935E-1
2.782780366E0,-3.198900074E-2,1.335200015E-2,2.022040039E-1
2.796786510E0,-3.198900074E-2,1.335200015E-2,2.022040039E-1
2.810791918E0,-2.157199942E-2,9.305999614E-3,2.266969979E-1
2.824798029E0,4.714999814E-3,-2.856400050E-2,2.170210034E-1
2.838804842E0,4.714999814E-3,-2.856400050E-2,2.170210034E-1
2.852810987E0,-1.233199984E-2,-3.408800066E-2,2.484109998E-1
2.866816371E0,-7.926000282E-3,-2.268899977E-2,2.326209992E-1
2.880822443E0,2.709999972E-4,-2.681999933E-3,2.087659985E-1
2.894829284E0,2.709999972E-4,-2.681999933E-3,2.087659985E-1
