"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.649320387E0,3.883900121E-2,-5.219399929E-2,1.842480004E-1
3.663326751E0,7.693699747E-2,-5.915699899E-2,1.385149956E-1
3.677332387E0,7.693699747E-2,-5.915699899E-2,1.385149956E-1
3.691337228E0,4.575299844E-2,-2.615199983E-2,3.216379881E-1
3.705342877E0,2.615199983E-2,-7.203999907E-3,2.762509882E-1
3.719349300E0,2.615199983E-2,-7.203999907E-3,2.762509882E-1
3.733354934E0,1.550399978E-2,1.966200024E-2,1.949670017E-1
3.747359761E0,-1.114699990E-2,1.769999944E-4,1.935600042E-1
3.761365377E0,-1.114699990E-2,1.769999944E-4,1.935600042E-1
3.775371733E0,-5.269999965E-4,-6.087800115E-2,1.864310056E-1
3.789377314E0,2.082600072E-2,-9.265299886E-2,1.984509975E-1
3.803382180E0,4.285600036E-2,-7.617799938E-2,2.381760031E-1
3.817387843E0,4.285600036E-2,-7.617799938E-2,2.381760031E-1
3.831394194E0,2.640499920E-2,-5.108600110E-2,2.400729954E-1
3.845399781E0,3.186500072E-2,-2.269900031E-2,2.488510013E-1
3.859404714E0,3.186500072E-2,-2.269900031E-2,2.488510013E-1
3.873410386E0,1.996099949E-2,-2.029200085E-2,2.366759926E-1
3.887416747E0,1.522499975E-2,-2.726200037E-2,2.262240052E-1
3.901422410E0,1.522499975E-2,-2.726200037E-2,2.262240052E-1
3.915427207E0,7.368999999E-3,-5.283899978E-2,2.843660116E-1
3.929432809E0,1.282999991E-3,-5.592900142E-2,1.696600020E-1
3.943439145E0,5.051999912E-2,-7.774700224E-2,1.801999956E-1
3.957444765E0,5.051999912E-2,-7.774700224E-2,1.801999956E-1
3.971449606E0,3.850600123E-2,-4.053299874E-2,2.574310005E-1
3.985455266E0,2.597899921E-2,-3.378799930E-2,2.153960019E-1
3.999461683E0,2.597899921E-2,-3.378799930E-2,2.153960019E-1
4.013467280E0,4.576500133E-2,-3.161900118E-2,2.160219997E-1
4.027472131E0,3.466299921E-2,-5.031299964E-2,2.451809943E-1
4.041477669E0,3.466299921E-2,-5.031299964E-2,2.451809943E-1
4.055484035E0,3.325299919E-2,-2.165500075E-2,2.228399962E-1
4.069489674E0,3.678999841E-2,-4.439700022E-2,1.964260042E-1
4.083494505E0,1.712399907E-2,-3.607400134E-2,1.907570064E-1
4.097500150E0,1.712399907E-2,-3.607400134E-2,1.907570064E-1
4.111506529E0,1.449900027E-2,-4.409199953E-2,2.041410059E-1
4.125512107E0,2.003600076E-2,-4.155499861E-2,2.076260000E-1
4.139517059E0,2.003600076E-2,-4.155499861E-2,2.076260000E-1
4.153522742E0,-2.149000065E-3,-4.789499938E-2,2.030099928E-1
4.167529117E0,1.696700044E-2,-3.529899940E-2,2.152570039E-1
4.181534743E0,1.696700044E-2,-3.529899940E-2,2.152570039E-1
4.195539555E0,2.042800002E-2,-3.886099905E-2,2.396810055E-1
4.209545180E0,7.166999858E-3,-5.031400174E-2,2.154140025E-1
4.223551574E0,2.066100016E-2,-4.049300030E-2,2.011470050E-1
4.237557208E0,2.066100016E-2,-4.049300030E-2,2.011470050E-1
4.251562103E0,-3.505999921E-3,-3.424900025E-2,2.297430038E-1
4.265567719E0,1.449999958E-2,-2.883500047E-2,2.446489930E-1
4.279574069E0,1.449999958E-2,-2.883500047E-2,2.446489930E-1
4.293579709E0,7.449999917E-3,-3.309800103E-2,2.519870102E-1
4.307584536E0,2.549600042E-2,-3.729600087E-2,2.488929927E-1
4.321590165E0,2.549600042E-2,-3.729600087E-2,2.488929927E-1
4.335596516E0,3.898999887E-3,-2.942599915E-2,2.235309929E-1
4.349602128E0,2.672499977E-2,-2.429299988E-2,2.574769855E-1
4.363606978E0,5.109999795E-3,-1.245000027E-2,1.288769990E-1
4.377612555E0,5.109999795E-3,-1.245000027E-2,1.288769990E-1
4.391618945E0,4.021099955E-2,-3.746100143E-2,2.237920016E-1
4.405624579E0,6.417100132E-2,-7.590600103E-2,2.883560061E-1
4.419629535E0,6.417100132E-2,-7.590600103E-2,2.883560061E-1
4.433635175E0,2.093899995E-2,-4.961999878E-2,2.175280005E-1
4.447641463E0,6.176900119E-2,-5.437200144E-2,1.131599993E-1
4.461647069E0,6.176900119E-2,-5.437200144E-2,1.131599993E-1
4.475651997E0,5.592399836E-2,-3.542700037E-2,3.038049936E-1
4.489657593E0,2.772399969E-2,1.170300040E-2,3.197860122E-1
4.503663968E0,-1.487400010E-2,3.665700182E-2,2.226060033E-1
4.517669627E0,-1.487400010E-2,3.665700182E-2,2.226060033E-1
4.531674473E0,-8.772999980E-3,2.881699987E-2,1.973139942E-1
4.545680127E0,-1.440699957E-2,-1.751900092E-2,2.199140042E-1
4.559686477E0,-1.440699957E-2,-1.751900092E-2,2.199140042E-1
4.573692044E0,1.063999999E-2,-4.128700122E-2,2.089930028E-1
4.587696876E0,8.445999585E-3,-5.002000183E-2,2.082750052E-1
4.601702545E0,8.445999585E-3,-5.002000183E-2,2.082750052E-1
4.615708876E0,1.662199944E-2,-1.837999932E-2,2.344170064E-1
4.629714458E0,1.572999917E-2,-1.275399979E-2,2.335650027E-1
4.643719352E0,2.193999942E-3,-3.649000078E-3,2.206840068E-1
4.657724928E0,2.193999942E-3,-3.649000078E-3,2.206840068E-1
4.671731323E0,-1.418200042E-2,-3.307799995E-2,2.117000073E-1
4.685736967E0,-9.456999600E-3,-2.188700065E-2,2.853929996E-1
4.699741910E0,-9.456999600E-3,-2.188700065E-2,2.853929996E-1
4.713747554E0,-1.416399982E-2,-3.270899877E-2,2.408709973E-1
4.727753867E0,2.589000016E-2,-3.777499869E-2,1.623210013E-1
4.741759472E0,2.589000016E-2,-3.777499869E-2,1.623210013E-1
4.755764289E0,3.049900010E-2,-2.375599928E-2,2.475900054E-1
4.769769935E0,3.609300032E-2,-1.068999991E-3,2.284940034E-1
4.783776381E0,3.566199914E-2,-3.930999897E-3,2.333869934E-1
4.797782012E0,3.566199914E-2,-3.930999897E-3,2.333869934E-1
4.811786848E0,2.386900038E-2,-8.105999790E-3,2.451709956E-1
4.825792482E0,1.438300032E-2,1.120099984E-2,2.754290104E-1
4.839798882E0,1.438300032E-2,1.120099984E-2,2.754290104E-1
4.853804439E0,1.134300046E-2,-1.761200093E-2,2.196300030E-1
4.867809291E0,4.668000154E-3,-1.884100027E-2,2.278970033E-1
4.881814930E0,4.668000154E-3,-1.884100027E-2,2.278970033E-1
4.895821315E0,1.694599912E-2,-3.874300048E-2,2.423910052E-1
